5899,899
109983,983
368071,71
48589,589
281999,999
166579,579
348813,813
393833,833
34097,97
466562,562
291855,855
178725,725
329827,827
409194,194
185311,311
44595,595
370693,693
184305,305
177736,736
83569,569
396677,677
491507,507
246138,138
342308,308
327945,945
408547,547
106545,545
359982,982
181169,169
84744,744
461136,136
74825,825
487983,983
375584,584
119743,743
461396,396
269037,37
119952,952
327951,951
41362,362
23115,115
172741,741
120711,711
365900,900
275211,211
115814,814
155811,811
437194,194
405625,625
186882,882
340153,153
338419,419
331552,552
198530,530
409330,330
96521,521
242076,76
436800,800
427601,601
371885,885
427419,419
37545,545
493677,677
2457,457
379186,186
83795,795
179298,298
182404,404
176169,169
46039,39
234894,894
124614,614
476982,982
249003,3
278614,614
485439,439
123439,439
133637,637
470735,735
183584,584
161650,650
225506,506
12516,516
168280,280
43585,585
301136,136
380762,762
387626,626
344263,263
109374,374
104694,694
102641,641
32291,291
197560,560
58027,27
141221,221
303130,130
418103,103
499450,450
427956,956
420827,827
457784,784
154254,254
193200,200
239094,94
357816,816
410811,811
389686,686
79708,708
100919,919
349357,357
86360,360
364296,296
363636,636
35597,597
444222,222
203518,518
301965,965
481263,263
2907,907
342031,31
99509,509
225126,126
325167,167
271665,665
472593,593
425045,45
216311,311
62427,427
446215,215
56915,915
169391,391
146872,872
313585,585
80959,959
302689,689
467819,819
304725,725
485825,825
55447,447
219368,368
492507,507
168285,285
386634,634
123009,9
379742,742
175091,91
146442,442
117203,203
365558,558
204070,70
152820,820
445001,1
587,587
61546,546
278077,77
10995,995
415989,989
54807,807
374732,732
81716,716
490868,868
296506,506
94890,890
80448,448
71819,819
125678,678
174611,611
430975,975
320100,100
470631,631
368839,839
324097,97
403545,545
168486,486
352130,130
72141,141
143429,429
480654,654
291098,98
366936,936
56523,523
373327,327
350080,80
482722,722
126693,693
409087,87
284558,558
310911,911
143960,960
379267,267
228438,438
424015,15
350211,211
9143,143
374147,147
73523,523
151862,862
42387,387
211960,960
175331,331
136361,361
287124,124
88984,984
198168,168
167145,145
217747,747
270260,260
341888,888
312241,241
194992,992
413785,785
327311,311
132572,572
333057,57
496405,405
407363,363
64095,95
371584,584
72506,506
222376,376
181976,976
126614,614
456989,989
374484,484
452984,984
35973,973
256706,706
9323,323
144293,293
212185,185
414268,268
191999,999
424016,16
263136,136
181190,190
271543,543
187105,105
91303,303
316941,941
100274,274
18438,438
188150,150
351240,240
134319,319
464598,598
477881,881
58113,113
6931,931
57587,587
379818,818
413537,537
45825,825
292505,505
111539,539
231253,253
246303,303
97976,976
15959,959
226386,386
471444,444
420678,678
356452,452
291198,198
137635,635
452031,31
80315,315
407321,321
494135,135
466336,336
165600,600
166805,805
163529,529
232949,949
89964,964
400255,255
445347,347
21128,128
387147,147
416489,489
41900,900
54404,404
461284,284
447417,417
296928,928
443212,212
335342,342
290470,470
183581,581
746,746
322069,69
244183,183
397812,812
116316,316
430802,802
358167,167
465857,857
370692,692
347378,378
128204,204
148088,88
236490,490
229452,452
259792,792
214434,434
193692,692
484287,287
419535,535
248817,817
100028,28
201242,242
293310,310
65500,500
147153,153
236822,822
301802,802
132283,283
94019,19
94744,744
249975,975
274816,816
314132,132
283563,563
382846,846
335871,871
448242,242
409912,912
180598,598
212051,51
253127,127
236568,568
179262,262
226155,155
204052,52
255927,927
140762,762
453558,558
117559,559
184755,755
432374,374
120026,26
87104,104
480435,435
358429,429
435953,953
450656,656
315327,327
260052,52
356583,583
304233,233
490984,984
404207,207
312302,302
36129,129
301335,335
152858,858
125902,902
285088,88
278759,759
305145,145
313466,466
451759,759
352953,953
306782,782
153378,378
224323,323
463240,240
144993,993
142491,491
497032,32
171936,936
111221,221
333623,623
40555,555
37421,421
343766,766
145079,79
188498,498
48022,22
325156,156
184086,86
265136,136
419696,696
476890,890
32557,557
167025,25
223497,497
140639,639
17133,133
133817,817
227876,876
339452,452
390955,955
181483,483
95209,209
174736,736
135423,423
445203,203
122173,173
336983,983
435974,974
320595,595
123054,54
265909,909
429880,880
356703,703
142579,579
236056,56
265381,381
65328,328
429741,741
463633,633
285055,55
15234,234
290514,514
32825,825
374910,910
402959,959
220841,841
180049,49
44893,893
40608,608
113479,479
216980,980
491598,598
154870,870
190157,157
181608,608
66212,212
217282,282
419245,245
17018,18
25334,334
483796,796
106279,279
446090,90
372474,474
176628,628
35057,57
470703,703
441471,471
21958,958
461441,441
159886,886
124292,292
200417,417
369096,96
422674,674
450731,731
373099,99
456642,642
78757,757
215339,339
7450,450
164003,3
282097,97
143448,448
376926,926
239436,436
16434,434
356249,249
463217,217
130517,517
262940,940
230694,694
373219,219
380983,983
12815,815
148999,999
346822,822
304657,657
273024,24
146197,197
181763,763
210058,58
367839,839
294624,624
348509,509
463000,0
494094,94
181168,168
219448,448
2808,808
141409,409
478546,546
392499,499
227457,457
139441,441
352164,164
434669,669
230938,938
441525,525
3248,248
234956,956
20079,79
445503,503
428289,289
468,468
446677,677
349628,628
365305,305
20887,887
6920,920
6159,159
29715,715
79290,290
191114,114
422778,778
44711,711
233461,461
31445,445
272267,267
368440,440
126081,81
497552,552
194859,859
277075,75
232999,999
